<Ticker> <DTYYYYMMDD> <Open> <High> <Low> <Close> <Volume> <TotalTrade> 
VPB 20210429 55.5 58.8 54.2 58.5 41536000 124.608E6
HPG 20210429 56.5 58.7 56.4 58.1 27877700 44.604276E6
LPB 20210429 20.75 21.5 20.7 21.5 23814400 17.8608E6
TCB 20210429 40.05 41.75 39.95 41.0 17966700 17.068378E6
ACB 20210429 33.8 34.65 33.6 34.65 16646300 14.149393E6
TAC 20210429 58.0 62.0 57.0 61.9 135600 528840.2
TEG 20210429 13.9 14.2 13.9 14.2 77500 23250.016
HAS 20210429 15.95 15.95 15.95 15.95 100 0.0
HAX 20210429 25.4 26.3 24.95 25.4 406600 0.0
GAB 20210429 191.1 191.1 191.1 191.1 900 0.0
DRL 20210429 58.5 58.5 58.5 58.5 100 0.0
DSN 20210429 44.4 44.5 43.75 44.4 12800 0.0
DBC 20210429 53.7 54.2 53.6 53.7 636200 0.0
CSTB2101 20210429 5.8 5.8 5.26 5.3 260000 -130000.0
HAH 20210429 26.1 26.95 25.9 26.0 1916100 -191610.73
ROS 20210429 6.7 6.85 6.41 6.44 18937700 -4923797.5
TTF 20210429 8.05 8.05 7.65 7.65 16748800 -6699521.5
AMD 20210429 7.73 7.73 6.8 7.0 10302500 -7520825.0
VHM 20210429 101.4 101.5 99.0 99.3 5374300 -11.286022E6
STB 20210429 24.25 24.6 23.85 23.9 38893400 -13.612705E6
