<Ticker> <DTYYYYMMDD> <Open> <High> <Low> <Close> <Volume> <TotalTrade> 
VPB 20210429 55.5 58.8 54.2 58.5 41536000 124608000
TCB 20210429 40.05 41.75 39.95 41.0 17966700 17068378
SSI 20210429 32.1 33.0 32.1 32.6 9170100 4585050
TSC 20210429 10.25 10.75 10.05 10.7 4696000 2113199
VIX 20210429 33.9 34.8 32.95 34.1 10145700 2029109
VCB 20210429 99.0 100.0 98.0 100.0 1615700 1615700
VIB 20210429 54.9 55.7 54.9 55.6 1907900 1335524
SSB 20210429 26.1 26.95 26.1 26.85 1199900 899925
VRE 20210429 31.9 32.45 31.55 32.0 5847200 584722
TAC 20210429 58.0 62.0 57.0 61.9 135600 528840
TNI 20210429 4.0 4.22 4.0 4.18 2100900 378161
VGC 20210429 36.0 37.9 35.9 36.2 1839900 367981
TLH 20210429 15.2 15.8 15.1 15.35 1831900 274786
YEG 20210429 23.0 24.7 21.7 24.0 203100 203100
TDP 20210429 25.5 27.3 25.5 27.15 113500 187274
UIC 20210429 52.0 57.3 52.0 57.1 27400 139739
VPS 20210429 14.8 16.95 14.8 16.4 77500 123999
VCA 20210429 14.55 15.5 14.5 15.4 62000 52699
TLG 20210429 36.75 37.2 36.5 37.0 105400 26350
TEG 20210429 13.9 14.2 13.9 14.2 77500 23250
VOS 20210429 3.81 3.88 3.76 3.84 702800 21083
VSH 20210429 19.05 19.5 19.05 19.4 59700 20895
TCD 20210429 13.3 13.9 13.2 13.5 64400 12879
TVT 20210429 26.6 27.5 26.6 27.45 13300 11305
TVS 20210429 18.6 19.5 18.6 19.0 27300 10919
VRC 20210429 8.85 9.16 8.85 8.9 212900 10644
VPH 20210429 5.8 5.9 5.71 5.84 175900 7035
VNL 20210429 17.5 19.7 17.5 19.7 2900 6380
TRA 20210429 67.8 70.0 67.8 69.5 3700 6289
VIP 20210429 8.47 8.52 8.38 8.49 233200 4663
VIS 20210429 19.9 20.3 19.8 20.05 28100 4214
VTO 20210429 8.83 9.0 8.8 9.0 21200 3604
SJD 20210429 17.4 17.5 17.0 17.45 63900 3195
VTB 20210429 12.25 12.65 12.25 12.65 6900 2759
TMT 20210429 8.8 9.2 8.8 8.91 14100 1550
VID 20210429 12.0 12.45 11.95 12.2 5900 1179
YBM 20210429 7.3 7.4 7.3 7.39 9900 890
VAF 20210429 9.54 10.15 9.01 10.15 1200 731
STG 20210429 16.65 16.7 16.65 16.7 8600 430
SVT 20210429 16.8 17.25 16.8 17.25 300 135
SHP 20210429 22.0 22.0 22.0 22.0 1900 0
TBC 20210429 26.05 26.05 26.05 26.05 400 0
TCO 20210429 12.7 12.7 12.7 12.7 100 0
TMP 20210429 42.5 42.5 42.3 42.5 10800 0
TIX 20210429 31.0 31.0 31.0 31.0 100 0
TIP 20210429 42.0 42.0 41.0 42.0 144000 0
TPC 20210429 9.2 9.2 9.2 9.2 1000 0
TNT 20210429 8.2 8.3 8.0 8.2 85900 0
TRC 20210429 36.0 36.0 36.0 36.0 1000 0
VHC 20210429 36.9 36.95 36.55 36.9 519300 0
VDP 20210429 36.7 36.7 36.65 36.7 18500 0
VCG 20210429 47.9 47.9 47.5 47.9 278800 0
VNS 20210429 10.45 10.45 10.45 10.45 1100 0
VNE 20210429 6.9 7.29 6.8 6.9 141000 0
VSI 20210429 19.4 19.4 19.4 19.4 1100 0
VPD 20210429 14.5 14.5 14.5 14.5 4500 0
FUCTVGF1 20210429 12.35 12.35 12.35 12.35 100 0
FUCVREIT 20210429 33.5 33.5 33.5 33.5 7900 0
FUCTVGF2 20210429 15.15 15.15 15.15 15.15 1300 0
TS4 20210429 4.75 4.84 4.61 4.72 3300 -99
SZL 20210429 50.5 50.5 49.6 50.4 3200 -319
TCR 20210429 4.65 4.65 4.51 4.6 9200 -460
SVD 20210429 9.05 9.15 8.9 9.04 85900 -859
SHA 20210429 6.5 6.69 6.4 6.47 40600 -1218
VSC 20210429 49.6 50.0 49.1 49.5 13900 -1389
UDC 20210429 6.78 6.9 6.45 6.68 16700 -1670
TNH 20210429 26.8 26.85 26.5 26.75 96700 -4834
TYA 20210429 16.6 16.6 16.3 16.45 45100 -6764
TCT 20210429 29.05 29.05 28.0 28.0 9700 -10184
STK 20210429 32.8 32.8 32.2 32.6 53000 -10600
TN1 20210429 60.0 60.0 57.9 58.0 5500 -11000
THG 20210429 80.7 81.0 78.6 78.6 5600 -11759
TCL 20210429 30.5 30.5 30.0 30.1 42000 -16799
